#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
1,ABS-CBN Entertainment @UCstEtN0pgOmCf02EdXsGChw,41.5M,-,Philippines,,12.5M,ABS-CBN Entertainment,51400000,56710654447,237536
2,GMANetwork @UCKL5hAuzgFQsyrsQKgU0Qng,26.9M,-,Philippines,,8.1M,GMA Network,37700000,32183349201,178893
3,Ivana Alawi @IvanaAlawi,15.9M,1.40%,Philippines,,4.8M,,,,
4,Niana Guerrero @UCLysbxhOO_JPOPgcsPCMb8w,14.9M,-,Philippines,,4.5M,Niana Guerrero,15800000,1624106092,493
5,Wish 107.5 @UCdfq8-581QVUtVsa8ChVnDQ,13.8M,-,Philippines,,4.1M,Wish 107.5,15200000,7092499157,2197
6,Zeinab Harake @UC-j7tR3DhEt85EM9HbvxXqA,13.1M,0.60%,Philippines,,3.9M,Zeinab Harake,14500000,1073632395,340
7,Alex Gonzaga Official @UC6N-9Wh0DYhDI8sQS7jwjVA,13M,1.50%,Philippines,,3.9M,Alex Gonzaga Official,14400000,1714188132,395
8,GMA News @UCqYw-CTd1dU2yGI71sEyqNw,11.4M,-,Philippines,News,3.4M,GMA Integrated News,16200000,12440249981,371386
9,Donnalyn @UCVwvPcaag7ubJPn1gOClDvQ,9.2M,0.90%,Philippines,,2.8M,Donnalyn,10000000,652050425,203
10,Wowowin @UC7UlaAta4FC6yoo9rOtfQcQ,7.6M,-,Philippines,,2.3M,Wil To Win,8010000,1084148164,6081
11,Vice Ganda @UCZ1PkXDIb_ybGu-3cxMm6oQ,7.5M,1.10%,Philippines,,2.2M,Vice Ganda,8280000,787404183,513
12,Jelai Andres @JelaiAndres,7.5M,0.20%,Philippines,,2.2M,,,,
13,Doc Willie Ong @UCR6n79EOdY406JlZD8FEgyg,7.4M,-,Philippines,,2.2M,Doc Willie Ong,10000000,1558891370,7024
14,ChooxTV @UC2OaBXso9ZDAdAx9lW2FqZA,6.4M,0.10%,Philippines,,1.9M,ChooxTV,6570000,1153837778,1240
15,Toni Gonzaga Studio @UCgTar4TrvIBvrlMdPUgbFfg,6.3M,0.40%,Philippines,,1.9M,Toni Gonzaga Studio,7710000,714190677,339
16,Viy Cortez @UC39p6707suIKTZiw0BTGapw,6.2M,-,Philippines,,1.9M,Viy Cortez,6920000,962809615,594
17,Agassi Ching @UCPa2lVGm68HvXAgzU75gHIQ,5M,-,Philippines,,1.5M,Agassi Ching,5740000,560123945,588
18,TinoKidsTV @UCfxNXZJyzRwte4fK-MUYxrQ,5M,-,Philippines,,1.5M,TinoKidsTV,5650000,1446031576,46
19,Pinoy Big Brother @UCsumo4lY8cd4v8Xt5zG3eSg,5M,-,Philippines,,1.5M,Pinoy Big Brother,6390000,3195427862,13018
20,Ex Battalion Music @UCXDPZNH-eEXtrxr5Ert1LWQ,5M,1.80%,Philippines,,1.5M,Ex Battalion Music,5400000,2189531894,154
21,The Hungry Syrian Wanderer @UCrPo31V8wpuuCMseyzEDZMQ,4.9M,0.80%,Philippines,,1.5M,The Hungry Syrian Wanderer,5200000,508283134,714
22,angelicajaneyap @UC-KrJWxMSMVBbmmpNLhSBdw,4.3M,-,Philippines,,1.3M,angelicajaneyap,4370000,300548020,177
23,Tukomi @Tukomi,4.2M,-,Philippines,,1.3M,,,,
24,"Regal Entertainment, Inc. @UC69I8egELqWywoX5wrh2KxQ",4.1M,-,Philippines,Celebrity,1.2M,"Regal Entertainment, Inc.",6750000,2721322622,10130
